experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,train_metric,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,train_auprc,train_accuracy,train_f1,train_sensitivity,train_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity
ames_v3_0047,0.0001,0.5,128,3,0.1,0.01,1,0.0001,5,300,50,scaffold,93.2053,87.8068,,83.8249,,305,True,2025-11-22 12:38:09,0.9384,0.8581,0.8649,0.8596,0.8563,0.9052,0.8019,0.8186,0.7908,0.8165,0.8749,0.7632,0.8021,0.8034,0.7036
ames_v3_0057,0.0001,0.5,128,5,0.1,0.01,1,1e-05,5,300,50,scaffold,94.2035,87.3156,,84.4871,,312,True,2025-11-22 12:38:20,0.9492,0.8704,0.8749,0.8570,0.8855,0.9058,0.7964,0.8155,0.7956,0.7975,0.8823,0.7618,0.7995,0.7954,0.7121
ames_v3_0024,0.001,0.3,32,7,0.1,0.01,1,1e-05,5,300,50,scaffold,99.2649,86.8713,,84.2805,,54,True,2025-11-22 12:39:08,0.9935,0.9572,0.9591,0.9495,0.9658,0.8730,0.7868,0.8089,0.7981,0.7722,0.8776,0.7680,0.8075,0.8149,0.6985
ames_v3_0054,0.0005,0.5,32,5,0.1,0.01,1,0.0001,5,300,50,scaffold,95.7115,87.2563,,84.3482,,88,True,2025-11-22 12:40:36,0.9619,0.8875,0.8915,0.8737,0.9030,0.8882,0.7827,0.7995,0.7664,0.8038,0.8866,0.7660,0.8035,0.8011,0.7138
ames_v3_0038,0.001,0.5,32,3,0.1,0.01,1,0.0001,5,300,50,scaffold,94.7846,86.7243,,83.3934,,61,True,2025-11-22 12:40:44,0.9527,0.8759,0.8818,0.8752,0.8767,0.8847,0.7950,0.8149,0.7981,0.7911,0.8693,0.7557,0.7848,0.7460,0.7700
ames_v3_0032,0.0001,0.3,32,7,0.1,0.01,1,1e-05,5,300,50,scaffold,96.1158,87.1739,,83.9319,,115,True,2025-11-22 12:42:51,0.9661,0.8956,0.9007,0.8957,0.8955,0.8922,0.7675,0.7911,0.7786,0.7532,0.8753,0.7694,0.8146,0.8483,0.6525
ames_v3_0039,0.001,0.5,128,3,0.1,0.01,1,0.0001,5,300,50,scaffold,96.9969,87.7691,,83.6494,,90,True,2025-11-22 12:43:30,0.9729,0.9107,0.9153,0.9135,0.9075,0.8858,0.7923,0.8147,0.8078,0.7722,0.8748,0.7618,0.7981,0.7885,0.7223
ames_v3_0041,0.0005,0.5,128,3,0.1,0.01,1,1e-05,5,300,50,scaffold,97.0865,88.0401,,83.9004,,156,True,2025-11-22 12:46:15,0.9741,0.9085,0.9143,0.9235,0.8917,0.8953,0.7758,0.8076,0.8321,0.7025,0.8777,0.7701,0.8069,0.8046,0.7189
ames_v3_0049,0.001,0.5,128,5,0.1,0.01,1,1e-05,5,300,50,scaffold,96.5643,87.3387,,84.4606,,71,True,2025-11-22 12:46:54,0.9703,0.9024,0.9072,0.9020,0.9030,0.9014,0.7909,0.8164,0.8224,0.7500,0.8801,0.7646,0.8039,0.8080,0.7002
ames_v3_0046,0.0001,0.5,32,3,0.1,0.01,1,0.0001,5,300,50,scaffold,93.1709,87.5081,,83.3858,,155,True,2025-11-22 12:47:06,0.9374,0.8610,0.8680,0.8645,0.8571,0.8962,0.7937,0.8139,0.7981,0.7880,0.8721,0.7543,0.7940,0.7931,0.6968
ames_v3_0050,0.001,0.5,32,5,0.1,0.01,1,0.0001,5,300,50,scaffold,95.6766,87.3502,,83.8836,,70,True,2025-11-22 12:47:36,0.9617,0.8926,0.8983,0.8971,0.8875,0.8822,0.7909,0.8151,0.8151,0.7595,0.8796,0.7591,0.8011,0.8126,0.6797
ames_v3_0037,0.001,0.5,128,3,0.1,0.01,1,1e-05,5,300,50,scaffold,96.8899,87.9724,,83.8054,,79,True,2025-11-22 12:50:50,0.9722,0.9081,0.9134,0.9165,0.8988,0.9001,0.7854,0.8120,0.8200,0.7405,0.8755,0.7584,0.7953,0.7862,0.7172
ames_v3_0040,0.0005,0.5,32,3,0.1,0.01,1,1e-05,5,300,50,scaffold,96.7685,87.9231,,84.2687,,102,True,2025-11-22 12:51:22,0.9709,0.9056,0.9092,0.8945,0.9180,0.8879,0.7992,0.8211,0.8151,0.7785,0.8824,0.7673,0.8055,0.8069,0.7087
ames_v3_0052,0.0005,0.5,32,5,0.1,0.01,1,1e-05,5,300,50,scaffold,96.0122,87.3356,,83.9825,,72,True,2025-11-22 12:51:24,0.9650,0.8973,0.9013,0.8871,0.9088,0.8905,0.7813,0.8005,0.7762,0.7880,0.8765,0.7618,0.7998,0.7966,0.7104
ames_v3_0045,0.0001,0.5,128,3,0.1,0.01,1,1e-05,5,300,50,scaffold,94.2154,87.9416,,83.9100,,334,True,2025-11-22 12:52:25,0.9483,0.8702,0.8780,0.8834,0.8555,0.9069,0.7854,0.8098,0.8078,0.7563,0.8768,0.7598,0.7951,0.7805,0.7291
ames_v3_0036,0.001,0.5,32,3,0.1,0.01,1,1e-05,5,300,50,scaffold,97.1925,87.9832,,83.9922,,77,True,2025-11-22 12:55:14,0.9748,0.9128,0.9177,0.9187,0.9063,0.8867,0.7909,0.8177,0.8297,0.7405,0.8755,0.7653,0.7983,0.7782,0.7462
ames_v3_0051,0.001,0.5,128,5,0.1,0.01,1,0.0001,5,300,50,scaffold,96.1240,86.7743,,83.9686,,69,True,2025-11-22 12:56:30,0.9659,0.8965,0.8998,0.8782,0.9171,0.8923,0.8033,0.8237,0.8127,0.7911,0.8760,0.7612,0.7981,0.7908,0.7172
ames_v3_0048,0.001,0.5,32,5,0.1,0.01,1,1e-05,5,300,50,scaffold,96.9373,87.6043,,84.3796,,69,True,2025-11-22 12:57:38,0.9726,0.9097,0.9127,0.8931,0.9284,0.8866,0.7785,0.8015,0.7908,0.7627,0.8831,0.7639,0.7933,0.7586,0.7717
ames_v3_0055,0.0005,0.5,128,5,0.1,0.01,1,0.0001,5,300,50,scaffold,96.3603,86.7273,,84.1834,,133,True,2025-11-22 12:58:55,0.9680,0.9009,0.9050,0.8931,0.9096,0.8893,0.7854,0.8098,0.8078,0.7563,0.8758,0.7625,0.7991,0.7908,0.7206
ames_v3_0071,0.0001,0.5,128,7,0.1,0.01,1,0.0001,5,300,50,scaffold,94.2579,86.8128,,84.0627,,358,True,2025-11-22 12:58:59,0.9492,0.8708,0.8748,0.8537,0.8900,0.8986,0.7895,0.8066,0.7762,0.8070,0.8797,0.7591,0.7963,0.7885,0.7155
ames_v3_0065,0.0005,0.5,128,7,0.1,0.01,1,1e-05,5,300,50,scaffold,95.1818,87.1347,,84.1571,,86,True,2025-11-22 13:00:09,0.9583,0.8803,0.8858,0.8786,0.8821,0.8993,0.7937,0.8162,0.8102,0.7722,0.8804,0.7687,0.8021,0.7851,0.7445
ames_v3_0066,0.0005,0.5,32,7,0.1,0.01,1,0.0001,5,300,50,scaffold,95.8544,86.9298,,84.1969,,85,True,2025-11-22 13:00:20,0.9629,0.8928,0.8989,0.9016,0.8830,0.8835,0.7950,0.8185,0.8175,0.7658,0.8788,0.7721,0.8107,0.8172,0.7053
ames_v3_0044,0.0001,0.5,32,3,0.1,0.01,1,1e-05,5,300,50,scaffold,93.8518,87.7999,,84.0357,,172,True,2025-11-22 13:01:54,0.9441,0.8549,0.8569,0.8214,0.8925,0.9025,0.7923,0.8047,0.7567,0.8386,0.8802,0.7605,0.7995,0.8000,0.7019
ames_v3_0067,0.0005,0.5,128,7,0.1,0.01,1,0.0001,5,300,50,scaffold,96.0245,86.9445,,83.9639,,117,True,2025-11-22 13:04:09,0.9652,0.8971,0.9013,0.8886,0.9067,0.8902,0.7882,0.8103,0.8005,0.7722,0.8768,0.7591,0.7949,0.7816,0.7257
ames_v3_0063,0.001,0.5,128,7,0.1,0.01,1,0.0001,5,300,50,scaffold,96.9537,87.6875,,84.4250,,86,True,2025-11-22 13:06:28,0.9729,0.9081,0.9121,0.9016,0.9155,0.8842,0.7909,0.8151,0.8151,0.7595,0.8801,0.7660,0.7991,0.7793,0.7462
ames_v3_0069,0.0001,0.5,128,7,0.1,0.01,1,1e-05,5,300,50,scaffold,93.7240,86.9953,,84.3063,,276,True,2025-11-22 13:06:42,0.9450,0.8618,0.8680,0.8593,0.8646,0.8999,0.7840,0.8040,0.7835,0.7848,0.8815,0.7660,0.8002,0.7851,0.7376
ames_v3_0059,0.0001,0.5,128,5,0.1,0.01,1,0.0001,5,300,50,scaffold,93.4371,86.6041,,84.2963,,294,True,2025-11-22 13:07:15,0.9419,0.8636,0.8697,0.8611,0.8663,0.8991,0.8006,0.8203,0.8054,0.7943,0.8798,0.7598,0.7965,0.7874,0.7189
ames_v3_0061,0.001,0.5,128,7,0.1,0.01,1,1e-05,5,300,50,scaffold,97.0777,87.1724,,83.9190,,84,True,2025-11-22 13:08:49,0.9746,0.9122,0.9165,0.9113,0.9134,0.8823,0.7799,0.8054,0.8054,0.7468,0.8753,0.7612,0.7955,0.7782,0.7359
ames_v3_0062,0.001,0.5,32,7,0.1,0.01,1,0.0001,5,300,50,scaffold,96.3514,86.7874,,84.1205,,84,True,2025-11-22 13:10:40,0.9663,0.8991,0.9029,0.8879,0.9117,0.8561,0.7689,0.7868,0.7543,0.7880,0.8801,0.7563,0.7855,0.7471,0.7700
ames_v3_0064,0.0005,0.5,32,7,0.1,0.01,1,1e-05,5,300,50,scaffold,96.4986,87.0322,,83.8736,,94,True,2025-11-22 13:11:50,0.9688,0.9015,0.9062,0.9001,0.9030,0.8969,0.7895,0.8109,0.7981,0.7785,0.8756,0.7714,0.8118,0.8253,0.6917
ames_v3_0058,0.0001,0.5,32,5,0.1,0.01,1,0.0001,5,300,50,scaffold,94.4090,87.0854,,84.5299,,205,True,2025-11-22 13:16:31,0.9499,0.8714,0.8761,0.8600,0.8842,0.8990,0.7964,0.8150,0.7932,0.8006,0.8834,0.7646,0.8028,0.8023,0.7087
ames_v3_0070,0.0001,0.5,32,7,0.1,0.01,1,0.0001,5,300,50,scaffold,93.3616,86.6750,,84.0226,,150,True,2025-11-22 13:16:57,0.9402,0.8608,0.8680,0.8659,0.8551,0.8922,0.7923,0.8124,0.7956,0.7880,0.8772,0.7673,0.8005,0.7816,0.7462
ames_v3_0056,0.0001,0.5,32,5,0.1,0.01,1,1e-05,5,300,50,scaffold,95.5790,87.5204,,84.6112,,273,True,2025-11-22 13:17:02,0.9606,0.8899,0.8940,0.8786,0.9025,0.9028,0.7868,0.8089,0.7981,0.7722,0.8829,0.7694,0.8078,0.8115,0.7070
ames_v3_0060,0.001,0.5,32,7,0.1,0.01,1,1e-05,5,300,50,scaffold,97.5402,87.3972,,83.9231,,84,True,2025-11-22 13:17:24,0.9778,0.9187,0.9221,0.9098,0.9288,0.8852,0.7937,0.8134,0.7956,0.7911,0.8740,0.7721,0.8036,0.7805,0.7598
ames_v3_0068,0.0001,0.5,32,7,0.1,0.01,1,1e-05,5,300,50,scaffold,95.2722,87.2894,,84.1561,,258,True,2025-11-22 13:17:33,0.9580,0.8859,0.8925,0.8953,0.8755,0.8963,0.7937,0.8166,0.8127,0.7690,0.8782,0.7653,0.8063,0.8184,0.6865
