smiles,pIC50
CCCCCCCCCC(=O)N[C@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccc(C(C)(C)C)cc2)NC(=O)[C@H](CCN)NC1=O,4.828962921
CCCCCCCCCC(=O)N[C@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccc(Cl)cc2)NC(=O)[C@H](CCN)NC1=O,4.339352256
CCCCCCCCCC(=O)N[C@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2cccc(Cl)c2)NC(=O)[C@H](CCN)NC1=O,4.393108402
CCCCCCCCCC(=O)N[C@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccc(Cl)c(Cl)c2)NC(=O)[C@H](CCN)NC1=O,4.580660923
CCCCCCCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(N)=O,4.060980224
CC(C)(C)OC(=O)N1CC(CC(=O)N[C@H]2CC[C@]3(C)[C@H]4C[C@@H](O)[C@@H]5[C@@H]([C@]6(C)CC[C@H](C(C)(C)O)O6)CC[C@@]5(C)[C@]4(C)CC[C@H]3C2(C)C)C1,4.200177169
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,4.272865576
COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(OC)c(OC)cc3NC(=O)c3cnc4ccccc4c3)cc1)CC2,5.095284455
CCC(C)CCC(=O)N[C@H](CC(N)=O)C(=O)N[C@H](Cc1ccc(O)cc1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CCCN)C(=O)N[C@@H](CCCN)C(=O)NCC(=O)N[C@H](CCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H]1C(=O)N[C@@H]([C@@H](C)CC)C(=O)NCC(=O)N[C@@H](CO)C(=O)O[C@@H]1C,4.437707136
CCCCCCCCCC(=O)N[C@H](CCCN)C(=O)N[C@H](Cc1ccc(O)cc1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CCCN)C(=O)N[C@@H](CCCN)C(=O)NCC(=O)N[C@H](CCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CO)C(=O)O)[C@@H](C)CC)[C@@H](C)O,4.676129393
Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](OC(=O)CCCCn3cc(CNC(=O)CC[C@H](NC(=O)c4ccc(NCc5cnc6nc(N)[nH]c(=O)c6n5)cc4)C(=O)O)nn3)CN2C(=O)[C@@H](NC(=O)COCCCOCCNC(=O)C[C@@H]2N=C(c3ccc(Cl)cc3)c3c(sc(C)c3C)-n3c(C)nnc32)C(C)(C)C)cc1,5.677780705
Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCCOCCNC(=O)C[C@@H]2N=C(c3ccc(Cl)cc3)c3c(sc(C)c3C)-n3c(C)nnc32)C(C)(C)C)cc1,6.795880017
CN(C)CCN1C(=O)c2cccc3c(N4CCN(C(=S)SCc5ccccc5)CC4)ccc(c23)C1=O,4.826231177
CN(C)CCN1C(=O)c2cccc3c(N4CCNCC4)ccc(c23)C1=O,5.195179321
CN(C)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O,4.566230166
CN(C)CCN1C(=O)c2cccc3cc([N+](=O)[O-])cc(c23)C1=O,5.671620397
Cc1ccc(Nc2nc(NCCO)c3ccccc3n2)cc1,4.305833704
CCCNc1ccc2ncc(-c3ccc4[nH]ncc4c3)n2n1,5.875821945
C[n+]1c(/C=C/c2c[nH]c3ccccc23)cc(/C=C2\Sc3ccccc3N2CCCN2CCOCC2)c2ccccc21.[I-],5.236572006
CCN(CC)CCCN1/C(=C/c2cc(/C=C/c3c[nH]c4ccccc34)[n+](C)c3ccccc23)Sc2ccccc21.[I-],5.337242168
C[n+]1c(/C=C/c2c[nH]c3ccccc23)cc(/C=C2\Sc3ccccc3N2CCCN2CCCCC2)c2ccccc21.[I-],5.26760624
CC1CCN(CCCN2/C(=C/c3cc(/C=C/c4c[nH]c5ccccc45)[n+](C)c4ccccc34)Sc3ccccc32)CC1.[I-],5.259637311
C[n+]1c(/C=C/c2c[nH]c3ccccc23)cc(/C=C2\Sc3ccccc3N2CCCN2CCC(C(F)(F)F)CC2)c2ccccc21.[I-],5.026872146
C[n+]1c(/C=C/c2cc3ccccc3[nH]2)cc(/C=C2\Sc3ccccc3N2CCCN2CCOCC2)c2ccccc21.[I-],5.022276395
CCN(CC)CCCN1/C(=C/c2cc(/C=C/c3cc4ccccc4[nH]3)[n+](C)c3ccccc23)Sc2ccccc21.[I-],5.022276395
C[n+]1c(/C=C/c2cc3ccccc3[nH]2)cc(/C=C2\Sc3ccccc3N2CCCN2CCCCC2)c2ccccc21.[I-],5.102372909
CC1CCN(CCCN2/C(=C/c3cc(/C=C/c4cc5ccccc5[nH]4)[n+](C)c4ccccc34)Sc3ccccc32)CC1.[I-],5.200659451
C[n+]1c(/C=C/c2cc3ccccc3[nH]2)cc(/C=C2\Sc3ccccc3N2CCCN2CCC(C(F)(F)F)CC2)c2ccccc21.[I-],4.832682665
C/C1=C\CC(C)(C)/C=C/CC2(C)Oc3c(C=O)c(O)c(C(=O)c4ccccc4)c(O)c3CC2CC1,5.1123827
COc1c2c(c(CN3CCN(C)CC3)c(OC)c1C(=O)c1ccccc1)OC1(C)C/C=C/C(C)(C)C/C=C(\C)CCC1C2,5.022276395
COc1c(CN2CCN(C)CC2)c(OC)c(C(=O)c2ccccc2)c2c1CC1CC/C(C)=C/CC(C)(C)/C=C/CC1(C)O2,5.040958608
CC12C[C@H]3[C@@H](CC1Cc1c(O)c(C(=O)c4ccccc4)c(O)c(C=O)c1O2)C3(C)C,5.031050319
CC12C[C@H]3[C@@H](CC1Cc1c(O)c(C=O)c(O)c(C(=O)c4ccccc4)c1O2)C3(C)C,5.107348966
