SAMPLE_DATA_TYPE,pAC50,smiles
glo 40 hr,7.278660554,O=C(O[Sn](CCCC)(OC(=O)CCCCCCCCCCC)CCCC)CCCCCCCCCCC
flor 40 hr,7.278660554,[Br-].C[N+](C)(CCCCCCCCCCCCCCCC)CC
glo 40 hr,7.278660554,[Br-].C[N+](C)(CCCCCCCCCCCCCCCC)CC
flor 40 hr,7.278660554,[Br-].C[N+](C)(C)CCCCCCCCCCCCCC
flor 40 hr,7.378660554,Clc2cc(Cl)ccc2Oc1ccc(Cl)cc1O
glo 40 hr,7.378660554,Oc1ccc(cc1OC)C=C3CCCC(=Cc2cc(OC)c(O)cc2)C3=O
flor 40 hr,7.278660554,CC(C)(C)c1ccc(cc1)C(=O)CCCN2CCC(CC2)OC(c3ccccc3)c4ccccc4
glo 40 hr,7.278660554,CC(C)(C)c1ccc(cc1)C(=O)CCCN2CCC(CC2)OC(c3ccccc3)c4ccccc4
glo 40 hr,7.378660554,[Br-].C[N+](C)(C)CCCCCCCCCCCCCC
flor 40 hr,7.428660554,Oc4cc5CC[C@@H]1[C@H](CC[C@]2(C)[C@H](CC[C@@H]12)OC(=O)CCC3CCCC3)c5cc4
flor 40 hr,7.328660554,Cl.COc1cc2C(=O)C(Cc2cc1OC)CC4CCN(Cc3ccccc3)CC4
flor 40 hr,5.517424559,[O-][n+]2ccccc2SSc1cccc[n+]1[O-]
glo 40 hr,5.21742456,[O-][n+]2ccccc2SSc1cccc[n+]1[O-]
flor 40 hr,7.278660554,O=C(O)c1ccc2cc(ccc2c1)c3cc(c(OC)cc3)C46CC5CC(CC(C4)C5)C6
flor 40 hr,6.378660554,CN(C)C(=S)SC(=S)N(C)C
glo 40 hr,6.478660554,CN(C)C(=S)SC(=S)N(C)C
flor 40 hr,7.378660554,CN(C)CCOC(=O)c1cc3c(cc1)n(Cc2ccccc2)c(C)c3C
glo 40 hr,7.378660554,CN(C)CCOC(=O)c1cc3c(cc1)n(Cc2ccccc2)c(C)c3C
flor 40 hr,7.378660554,CN1CC/C(CC1)=C3\c4ccccc4CCc2sccc23
flor 40 hr,7.428660554,Nc1nc(C)ncc1CN(C=O)C(C)=C(CCO)SSCCC
flor 40 hr,6.828660554,NC(=O)OC[C@@H]3C=1C(=O)C(N)=C(C)C(=O)C=1N2C[C@@H]4N[C@@H]4[C@@]23OC
