number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_decay,params_dropout_ratio,params_emb_dim,params_lr,params_min_temp,params_num_experts,params_num_layer,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
12,88.30171635049683,2025-11-26 10:03:59.187817,2025-11-26 10:04:24.284890,0 days 00:00:25.097073,0.24456132987025547,64,0.004253178413283749,2.3159001725210435e-05,0.5,300,0.00992238922642005,0.12747155531898127,8,4,88.30171635049683,,PRUNED
13,91.0719662752183,2025-11-26 10:04:24.285386,2025-11-26 10:05:37.621243,0 days 00:01:13.335857,0.8850546319359351,64,0.03717806485034994,8.84741438869138e-06,0.30000000000000004,300,0.0019709074233414947,0.03625429754410813,9,4,90.56007226738933,91.0719662752183,PRUNED
14,88.12104787714543,2025-11-26 10:05:37.621637,2025-11-26 10:06:02.192548,0 days 00:00:24.570911,0.05710471746019002,64,0.011632904142404058,3.873319734355138e-05,0.4,300,0.0013889007589054463,0.16208197313998654,9,3,88.12104787714543,,PRUNED
15,77.41644083107498,2025-11-26 10:06:02.192780,2025-11-26 10:06:48.125958,0 days 00:00:45.933178,0.2573331666401265,512,0.0027969962176776215,6.154441388029036e-06,0.5,300,0.00010375336340378061,0.026468753931249853,7,4,77.41644083107498,,PRUNED
16,92.3070420245962,2025-11-26 10:06:48.126191,2025-11-26 10:33:21.045096,0 days 00:26:32.918905,0.45850581462668166,32,0.028286942384298287,1.4170559392843995e-05,0.0,300,0.004745920107265912,0.04754471053243678,8,6,94.06805179162903,,COMPLETE
17,90.39445950015055,2025-11-26 10:33:21.045426,2025-11-26 10:35:24.013513,0 days 00:02:02.968087,0.857786919838163,32,0.030212410343151145,2.3817332859732522e-06,0.0,300,0.0012802247106169743,0.050797661251821336,8,6,90.39445950015055,90.39445950015055,PRUNED
18,91.64998291621342,2025-11-26 10:35:24.013828,2025-11-26 10:58:51.812463,0 days 00:23:27.798635,0.49376740438683414,32,0.09278043093442982,1.187657108183489e-05,0.0,300,0.005905118440129799,0.2073155796260758,6,6,,,COMPLETE
19,91.14820188764813,2025-11-26 10:58:51.812890,2025-11-26 11:21:03.198235,0 days 00:22:11.385345,0.13884132744845612,32,0.027803698379697334,4.057370947691256e-05,0.1,300,5.481099351778161e-05,0.08884009198478392,7,7,94.33905450165612,94.91117133393556,COMPLETE
20,0.0,2025-11-26 11:21:03.198732,2025-11-26 11:22:37.809681,0 days 00:01:34.610949,0.35965389823767385,32,0.009058840445326304,5.463275593679548e-06,0.30000000000000004,300,0.0011377901718243226,0.041122034066215146,8,6,0.0,,PRUNED
21,0.0,2025-11-26 11:22:37.809864,2025-11-26 11:23:12.253674,0 days 00:00:34.443810,0.5872205108870461,32,0.08176039975080532,1.3097534509081017e-05,0.0,300,0.005836983249032075,0.14602431249009193,6,6,0.0,,PRUNED
22,0.0,2025-11-26 11:23:12.253871,2025-11-26 11:23:45.814980,0 days 00:00:33.561109,0.6624944829407485,32,0.05628397714682811,1.2396712477554708e-05,0.0,300,0.004865991903142487,0.2405167277374933,6,7,0.0,,PRUNED
23,71.39869978254823,2025-11-26 11:23:45.815388,2025-11-26 11:43:51.308858,0 days 00:20:05.493470,0.32522936235596167,32,0.09241386037815813,7.83620534765213e-06,0.1,300,0.009888748763059537,0.9943905164098857,5,6,,,COMPLETE
24,0.0,2025-11-26 11:43:51.309125,2025-11-26 11:45:29.565152,0 days 00:01:38.256027,0.1654064771309187,32,0.02162620683014919,2.7963717131264087e-05,0.0,300,0.0023293129760167237,0.2425369480592543,7,5,0.0,,PRUNED
25,69.89371566525631,2025-11-26 11:45:29.565378,2025-11-26 11:53:55.937924,0 days 00:08:26.372546,0.6122275975644997,512,0.0076376365710852006,1.459373215993881e-05,0.2,300,0.005550952975306977,0.09752781308574439,9,5,,,COMPLETE
26,0.0,2025-11-26 11:53:55.938224,2025-11-26 11:54:15.959608,0 days 00:00:20.021384,0.33042717834858215,128,0.04624270722810726,4.346181800922106e-06,0.0,300,0.0007219806285603717,0.02598571127572361,8,6,0.0,,PRUNED
27,70.73319557949878,2025-11-26 11:54:15.959892,2025-11-26 12:12:41.255840,0 days 00:18:25.295948,0.06555392579051549,32,0.011504913179457312,3.17336496916275e-05,0.1,300,0.00021666458716582246,0.1932846026347088,6,7,,,COMPLETE
28,0.0,2025-11-26 12:12:41.256180,2025-11-26 12:14:24.067531,0 days 00:01:42.811351,0.039544120093465814,32,0.0653742032572026,7.957453118639425e-06,0.2,300,0.002059197173031633,0.07489003798348953,7,5,0.0,,PRUNED
29,0.0,2025-11-26 12:14:24.067784,2025-11-26 12:14:44.023499,0 days 00:00:19.955715,0.09682154421882061,128,0.013349135472893884,2.080927925060112e-06,0.30000000000000004,300,0.0038123249801255694,0.3450428820734687,4,6,0.0,,PRUNED
