number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_decay,params_dropout_ratio,params_emb_dim,params_lr,params_min_temp,params_num_experts,params_num_layer,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
10,60.62091503267973,2025-11-26 06:51:32.675138,2025-11-26 06:52:10.799329,0 days 00:00:38.124191,0.058494280260885115,256,0.001188923234875826,4.451596850642267e-05,0.0,300,0.0010194253306231218,0.8071102356604543,8,7,60.62091503267973,,,PRUNED
11,75.54952057438183,2025-11-26 06:52:10.799607,2025-11-26 07:10:38.592284,0 days 00:18:27.792677,0.0449707051015045,32,0.07933354874823971,1.4514300438793219e-05,0.5,300,0.00703273212607296,0.34772946780049346,7,6,79.41176470588235,81.5359477124183,84.9673202614379,COMPLETE
12,75.81699346405229,2025-11-26 07:10:38.592879,2025-11-26 07:11:37.694747,0 days 00:00:59.101868,0.05349833189050138,32,0.09286027522522014,1.8122775254466994e-05,0.5,300,0.002352723052508017,0.46869708373367064,10,6,75.81699346405229,,,PRUNED
13,73.69281045751633,2025-11-26 07:11:37.695034,2025-11-26 07:11:51.998459,0 days 00:00:14.303425,0.056293404374837486,128,0.030406622698132515,1.912209642978576e-05,0.5,300,0.0009192162987268407,0.8252063857907813,8,6,73.69281045751633,,,PRUNED
14,66.01307189542484,2025-11-26 07:11:51.998739,2025-11-26 07:12:30.136684,0 days 00:00:38.137945,0.028719015301464854,256,0.002481780838434012,1.0031878384632077e-05,0.1,300,5.301257505514004e-05,0.34308390565032654,7,6,66.01307189542484,,,PRUNED
15,71.56862745098039,2025-11-26 07:12:30.136951,2025-11-26 07:12:50.142065,0 days 00:00:20.005114,0.19226703815089052,32,0.033434620334487755,9.38677748600662e-05,0.30000000000000004,300,0.0003479220906682651,0.31235247829053725,9,7,71.56862745098039,,,PRUNED
16,69.11764705882352,2025-11-26 07:12:50.142259,2025-11-26 07:13:28.386557,0 days 00:00:38.244298,0.1035536838915108,256,0.09748818942505848,7.572363014465892e-06,0.4,300,0.0029830458785946694,0.025518134630717986,7,6,69.11764705882352,,,PRUNED
17,64.2156862745098,2025-11-26 07:13:28.386748,2025-11-26 07:13:49.904241,0 days 00:00:21.517493,0.36656671291764614,32,0.015537347806662136,1.8767634848538636e-05,0.2,300,1.794893190273748e-05,0.9283322967494706,9,7,64.2156862745098,,,PRUNED
18,62.745098039215684,2025-11-26 07:13:49.904535,2025-11-26 07:14:03.682532,0 days 00:00:13.777997,0.03253318984321353,128,0.0024497049879453597,3.070902278883938e-05,0.0,300,0.0001391534335763452,0.5499138475776996,10,6,62.745098039215684,,,PRUNED
19,77.94117647058823,2025-11-26 07:14:03.682805,2025-11-26 07:14:51.156149,0 days 00:00:47.473344,0.017967758824222867,64,0.02874346606363442,1.138618097471952e-06,0.5,300,0.0015183858914859963,0.2825337770384175,3,5,71.89542483660131,77.94117647058823,,PRUNED
20,0.0,2025-11-26 07:14:51.156446,2025-11-26 07:14:51.513003,0 days 00:00:00.356557,0.08323118342941035,512,0.055304571010929386,5.693668014410243e-06,0.1,300,0.0055212599463786635,0.630570740038785,5,7,,,,COMPLETE
21,74.97546557524359,2025-11-26 07:14:51.513580,2025-11-26 07:28:32.772847,0 days 00:13:41.259267,0.016956014474269678,32,0.054893224104842556,3.7642171134205858e-06,0.4,300,0.009863224259555327,0.19400786030466957,5,4,83.16993464052287,,,COMPLETE
22,71.73202614379085,2025-11-26 07:28:32.773436,2025-11-26 07:28:50.999889,0 days 00:00:18.226453,0.03973287261455698,32,0.0565085640746412,1.7139519569187688e-06,0.4,300,0.0045735740257640285,0.1885875165467237,4,4,71.73202614379085,,,PRUNED
23,74.90483688219538,2025-11-26 07:28:51.000220,2025-11-26 07:41:09.373773,0 days 00:12:18.373553,0.01013928350048137,32,0.07143208264463366,1.4680184743020335e-05,0.30000000000000004,300,0.004630554637433857,0.10637707446449841,6,5,,,,COMPLETE
24,77.00183599850637,2025-11-26 07:41:09.374311,2025-11-26 07:55:34.500796,0 days 00:14:25.126485,0.020728171148773025,32,0.03807558730735585,4.1409080074914455e-06,0.4,300,0.00045912601916539293,0.3538245067556963,4,6,78.10457516339869,,,COMPLETE
25,78.26797385620915,2025-11-26 07:55:34.501082,2025-11-26 07:57:27.858925,0 days 00:01:53.357843,0.02520279637126517,256,0.012200145249328357,1.1978111782941352e-05,0.5,300,0.0005429433536304155,0.38059481158993086,4,6,78.26797385620915,,,PRUNED
26,75.60171827186255,2025-11-26 07:57:27.859151,2025-11-26 08:11:15.272396,0 days 00:13:47.413245,0.041169061833862396,32,0.033113923480787545,6.895451894957881e-06,0.30000000000000004,300,6.365829706050931e-05,0.5957097312865859,7,7,,,,COMPLETE
27,73.69281045751633,2025-11-26 08:11:15.273165,2025-11-26 08:12:12.492466,0 days 00:00:57.219301,0.041750135737480557,32,0.03678782740443896,6.927876451602527e-06,0.4,300,7.798741098995555e-05,0.29142530443013626,7,6,73.69281045751633,,,PRUNED
28,69.93464052287582,2025-11-26 08:12:12.492655,2025-11-26 08:12:33.201379,0 days 00:00:20.708724,0.0787555740532396,32,0.0422584352571762,2.8434322543878063e-05,0.5,300,3.3867875095907474e-05,0.2463234562121727,7,7,69.93464052287582,,,PRUNED
29,73.52941176470587,2025-11-26 08:12:33.201724,2025-11-26 08:13:30.775215,0 days 00:00:57.573491,0.04337354574240226,32,0.02271644510887672,5.031815418922824e-06,0.4,300,0.00019396631471081135,0.7125572626906005,6,6,71.73202614379086,73.52941176470587,,PRUNED
