experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,train_metric,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,train_auprc,train_accuracy,train_f1,train_sensitivity,train_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity
ames_v2_0039,0.001,0.3,16,7,0.1,0.01,1,1e-05,5,300,50,scaffold,98.7495,87.4804,,83.0030,,66,True,2025-11-21 16:15:33,0.9798,0.9513,0.9541,0.9566,0.9454,0.8698,0.7675,0.7995,0.8200,0.6994,0.8594,0.7701,0.8123,0.8333,0.6763
ames_v2_0057,0.001,0.4,16,3,0.1,0.01,1,1e-05,5,300,50,scaffold,98.5711,87.6397,,84.0265,,85,True,2025-11-21 16:18:35,0.9870,0.9391,0.9419,0.9324,0.9467,0.8548,0.8006,0.8255,0.8345,0.7563,0.8734,0.7769,0.8085,0.7885,0.7598
ames_v2_0059,0.001,0.4,64,3,0.1,0.01,1,1e-05,5,300,50,scaffold,99.0024,87.8145,,83.0756,,83,True,2025-11-21 16:19:31,0.9910,0.9499,0.9525,0.9488,0.9513,0.8857,0.7937,0.8210,0.8370,0.7373,0.8647,0.7680,0.8090,0.8230,0.6865
ames_v2_0078,0.0005,0.4,16,5,0.1,0.01,1,0.0,5,300,50,scaffold,97.1598,88.1672,,84.4667,,83,True,2025-11-21 16:24:05,0.9592,0.9058,0.9067,0.8659,0.9504,0.8945,0.7827,0.7937,0.7397,0.8386,0.8807,0.7728,0.8146,0.8356,0.6797
ames_v2_0103,0.0001,0.4,32,7,0.1,0.01,1,0.0,5,300,50,scaffold,95.7774,88.0571,,83.4833,,175,True,2025-11-21 16:29:38,0.9635,0.8871,0.8937,0.8975,0.8755,0.9026,0.7950,0.8207,0.8297,0.7500,0.8667,0.7721,0.8074,0.8000,0.7308
ames_v2_0106,0.0001,0.4,32,7,0.1,0.01,1,1e-05,5,300,50,scaffold,95.8821,88.0478,,83.9020,,165,True,2025-11-21 16:30:50,0.9643,0.8912,0.8959,0.8849,0.8984,0.8943,0.7868,0.8075,0.7908,0.7816,0.8731,0.7653,0.7972,0.7724,0.7547
ames_v2_0096,0.0005,0.4,16,7,0.1,0.01,1,0.0,5,300,50,scaffold,97.3636,88.1941,,84.1858,,73,True,2025-11-21 16:31:35,0.9762,0.9219,0.9264,0.9306,0.9121,0.8909,0.7813,0.8105,0.8273,0.7215,0.8672,0.7735,0.8138,0.8287,0.6917
ames_v2_0071,0.0001,0.4,64,3,0.1,0.01,1,1e-05,5,300,50,scaffold,97.1786,88.9225,,83.6727,,287,True,2025-11-21 16:34:07,0.9751,0.9119,0.9157,0.9061,0.9184,0.9098,0.7937,0.8157,0.8078,0.7753,0.8708,0.7673,0.8048,0.8034,0.7138
ames_v2_0063,0.0005,0.4,16,3,0.1,0.01,1,1e-05,5,300,50,scaffold,97.5967,88.4228,,84.3218,,85,True,2025-11-21 16:35:26,0.9728,0.9291,0.9325,0.9254,0.9334,0.8728,0.7950,0.8190,0.8200,0.7627,0.8786,0.7653,0.7947,0.7609,0.7717
ames_v2_0082,0.0005,0.4,32,5,0.1,0.01,1,1e-05,5,300,50,scaffold,98.4237,87.9339,,83.2369,,100,True,2025-11-21 16:39:06,0.9862,0.9386,0.9418,0.9398,0.9371,0.8897,0.7895,0.8154,0.8224,0.7468,0.8687,0.7653,0.8046,0.8092,0.7002
ames_v2_0095,0.001,0.4,64,7,0.1,0.01,1,1e-05,5,300,50,scaffold,99.2353,87.9216,,82.5655,,100,True,2025-11-21 16:39:44,0.9933,0.9574,0.9598,0.9618,0.9525,0.8915,0.7799,0.8086,0.8224,0.7247,0.8548,0.7632,0.8021,0.8034,0.7036
ames_v2_0081,0.0005,0.4,16,5,0.1,0.01,1,1e-05,5,300,50,scaffold,97.6501,87.9231,,84.7616,,87,True,2025-11-21 16:42:13,0.9767,0.9246,0.9280,0.9183,0.9317,0.8704,0.7937,0.8180,0.8200,0.7595,0.8821,0.7817,0.8249,0.8609,0.6644
ames_v2_0070,0.0001,0.4,32,3,0.1,0.01,1,1e-05,5,300,50,scaffold,97.2990,88.7731,,83.8616,,239,True,2025-11-21 16:43:33,0.9757,0.9124,0.9171,0.9161,0.9084,0.9006,0.7950,0.8207,0.8297,0.7500,0.8779,0.7701,0.7981,0.7609,0.7836
ames_v2_0069,0.0001,0.4,16,3,0.1,0.01,1,1e-05,5,300,50,scaffold,95.6393,88.6923,,83.6343,,140,True,2025-11-21 16:44:37,0.9603,0.8899,0.8960,0.8975,0.8813,0.9024,0.8019,0.8282,0.8443,0.7468,0.8756,0.7605,0.7948,0.7770,0.7359
ames_v2_0085,0.0001,0.4,32,5,0.1,0.01,1,0.0,5,300,50,scaffold,96.2952,88.0417,,83.8409,,202,True,2025-11-21 16:44:49,0.9673,0.9022,0.9074,0.9061,0.8980,0.9078,0.7937,0.8166,0.8127,0.7690,0.8714,0.7783,0.8178,0.8333,0.6968
ames_v2_0073,0.001,0.4,32,5,0.1,0.01,1,0.0,5,300,50,scaffold,98.5724,87.6082,,83.3859,,76,True,2025-11-21 16:46:25,0.9852,0.9407,0.9441,0.9462,0.9346,0.8797,0.7785,0.8063,0.8151,0.7310,0.8618,0.7625,0.8018,0.8046,0.7002
