number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_decay,params_dropout_ratio,params_emb_dim,params_lr,params_min_temp,params_num_experts,params_num_layer,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
13,58.95061728395061,2025-11-26 09:48:33.324734,2025-11-26 09:49:32.667101,0 days 00:00:59.342367,0.10030108438500664,32,0.003812855545407987,4.0973620298427615e-06,0.1,300,0.00202035870683149,0.4533554053474776,8,6,58.95061728395061,,,PRUNED
14,38.27160493827161,2025-11-26 09:49:32.667387,2025-11-26 09:49:49.627264,0 days 00:00:16.959877,0.01187954067232711,64,0.013442893428181965,3.886409015120962e-05,0.1,300,0.00030299282925477984,0.050563760362755644,7,4,38.27160493827161,,,PRUNED
15,54.93827160493827,2025-11-26 09:49:49.627586,2025-11-26 09:50:32.101259,0 days 00:00:42.473673,0.3793369485403265,128,0.002659983053034199,3.377511506552337e-06,0.2,300,0.0037959767523210223,0.08712949702703449,5,7,54.93827160493827,54.93827160493827,,PRUNED
16,54.78395061728395,2025-11-26 09:50:32.101460,2025-11-26 09:50:52.821148,0 days 00:00:20.719688,0.12119956927275363,32,0.006203294442699032,1.68257709256084e-05,0.4,300,0.00034974889008332013,0.4309373116222859,9,6,54.78395061728395,,,PRUNED
17,70.65775195225056,2025-11-26 09:50:52.821399,2025-11-26 09:57:06.175527,0 days 00:06:13.354128,0.29338902840441816,128,0.021246247163174293,6.263099333472277e-05,0.1,300,0.009318103710824454,0.1632914272754828,6,5,,,,COMPLETE
18,72.7813771437463,2025-11-26 09:57:06.176205,2025-11-26 10:07:19.090139,0 days 00:10:12.913934,0.6435178992672533,32,0.02211943880274428,6.085147804134128e-05,0.1,300,0.00957993335102758,0.266645381296064,6,4,57.71604938271605,66.51234567901236,68.05555555555556,COMPLETE
19,72.32708559594545,2025-11-26 10:07:19.090465,2025-11-26 10:22:33.592159,0 days 00:15:14.501694,0.9120878325958641,32,0.02435114847767733,4.788810612466082e-05,0.30000000000000004,300,0.0018580399393366054,0.6711940067108034,8,3,66.66666666666666,,,COMPLETE
20,43.51851851851852,2025-11-26 10:22:33.593025,2025-11-26 10:22:53.900060,0 days 00:00:20.307035,0.5412496843454452,32,0.011807802072910704,2.4721092176252443e-05,0.2,300,0.00041242356856665364,0.27024739106146983,7,4,43.51851851851852,,,PRUNED
21,62.03703703703704,2025-11-26 10:22:53.900424,2025-11-26 10:23:48.616683,0 days 00:00:54.716259,0.9581596176698007,32,0.029826282762380668,5.132511939510725e-05,0.30000000000000004,300,0.0016102662255651973,0.6753774450490131,9,3,62.03703703703704,62.03703703703704,,PRUNED
22,61.41975308641976,2025-11-26 10:23:48.617023,2025-11-26 10:24:42.283777,0 days 00:00:53.666754,0.6645595462776445,32,0.026710843909729113,5.171641915736025e-05,0.4,300,0.0027870826941727555,0.9228047026784288,8,3,61.41975308641976,61.41975308641976,,PRUNED
23,72.45430796839449,2025-11-26 10:24:42.283990,2025-11-26 10:35:19.311435,0 days 00:10:37.027445,0.4302281623329906,32,0.015216977171614717,3.245872544091701e-05,0.30000000000000004,300,0.0006457517165169469,0.48254980472988385,10,4,,,,COMPLETE
24,48.148148148148145,2025-11-26 10:35:19.312035,2025-11-26 10:35:38.134689,0 days 00:00:18.822654,0.4156899537347584,32,0.008573443203553337,3.0114455707433947e-05,0.2,300,0.0001611073388219759,0.45858631754214507,10,4,48.148148148148145,,,PRUNED
25,41.35802469135803,2025-11-26 10:35:38.135021,2025-11-26 10:36:34.988503,0 days 00:00:56.853482,0.17972355629247874,32,0.01487537090839073,1.5243009008637851e-05,0.1,300,0.0005407859736103307,0.2285157569925502,9,5,41.35802469135803,,,PRUNED
26,69.7174097551499,2025-11-26 10:36:34.988693,2025-11-26 10:51:07.468668,0 days 00:14:32.479975,0.6668104895172884,64,0.043400878566060654,9.535767826293655e-05,0.30000000000000004,300,6.195921684135663e-05,0.3427877848666593,10,4,62.65432098765432,62.65432098765432,,COMPLETE
27,48.456790123456784,2025-11-26 10:51:07.469268,2025-11-26 10:51:26.630326,0 days 00:00:19.161058,0.4197847139340604,32,0.015357533001650983,6.760299972378567e-05,0.2,300,0.00021374600895463826,0.5415926365512328,6,4,48.456790123456784,,,PRUNED
28,0.0,2025-11-26 10:51:26.630514,2025-11-26 10:51:27.058969,0 days 00:00:00.428455,0.28594514497320384,512,0.007565628428631143,3.674448502844552e-05,0.4,300,0.0010635891712122059,0.32445756497211736,4,4,,,,COMPLETE
29,37.03703703703704,2025-11-26 10:51:27.059776,2025-11-26 10:52:04.418644,0 days 00:00:37.358868,0.1177255060232737,256,0.001045211665576901,1.0722101712307024e-05,0.30000000000000004,300,0.000593460884777968,0.1678364012661564,9,5,37.03703703703704,,,PRUNED
