experiment_id,timestamp,lr,dropout_ratio,batch_size,num_experts,num_layer,emb_dim,decay,features,Test_Metric_Mean,Test_Metric_Std,Test_auprc_mean,Test_auprc_std,Test_accuracy_mean,Test_accuracy_std,Test_f1_mean,Test_f1_std,Test_sensitivity_mean,Test_sensitivity_std,Test_specificity_mean,Test_specificity_std
ablation_Basic_32,2025-11-24 10:21:03,0.001,0.3,32,5,7,300,0.0001,basic,84.0898,1.5291,0.8899,0.0121,0.7790,0.0124,0.8193,0.0131,0.8106,0.0259,0.7264,0.0265
ablation_Basic_42,2025-11-24 10:22:59,0.001,0.3,32,7,5,300,0.0,basic,84.8519,0.9599,0.8970,0.0050,0.7820,0.0127,0.8232,0.0151,0.8222,0.0376,0.7160,0.0478
ablation_Basic_43,2025-11-24 10:24:18,0.001,0.3,32,7,5,300,1e-05,basic,84.7870,0.8159,0.8971,0.0050,0.7793,0.0147,0.8190,0.0183,0.8105,0.0443,0.7270,0.0500
ablation_Basic_36,2025-11-24 10:27:03,0.001,0.3,32,7,3,300,0.0,basic,84.8072,1.3312,0.8931,0.0119,0.7789,0.0128,0.8202,0.0187,0.8199,0.0545,0.7110,0.0624
ablation_Basic_37,2025-11-24 10:27:30,0.001,0.3,32,7,3,300,1e-05,basic,84.7815,1.2589,0.8915,0.0110,0.7835,0.0131,0.8247,0.0151,0.8253,0.0388,0.7142,0.0467
ablation_Basic_38,2025-11-24 10:30:31,0.001,0.3,32,7,3,300,0.0001,basic,85.1658,1.1504,0.8973,0.0098,0.7871,0.0076,0.8279,0.0087,0.8289,0.0328,0.7185,0.0602
ablation_Basic_44,2025-11-24 10:31:53,0.001,0.3,32,7,5,300,0.0001,basic,85.0491,0.8951,0.8959,0.0051,0.7863,0.0126,0.8254,0.0181,0.8206,0.0499,0.7299,0.0548
ablation_Basic_63,2025-11-24 10:36:51,0.001,0.5,128,3,5,300,0.0,basic,84.7945,1.0822,0.8971,0.0086,0.7856,0.0135,0.8247,0.0155,0.8169,0.0264,0.7347,0.0148
ablation_Basic_64,2025-11-24 10:40:03,0.001,0.5,128,3,5,300,1e-05,basic,85.0100,1.1457,0.8983,0.0102,0.7845,0.0075,0.8250,0.0085,0.8217,0.0138,0.7244,0.0149
ablation_Basic_59,2025-11-24 10:41:13,0.001,0.5,128,3,3,300,0.0001,basic,84.5556,1.3313,0.8882,0.0143,0.7820,0.0182,0.8188,0.0236,0.8014,0.0566,0.7494,0.0550
ablation_Basic_65,2025-11-24 10:41:28,0.001,0.5,128,3,5,300,0.0001,basic,84.9033,1.1831,0.8957,0.0090,0.7856,0.0134,0.8234,0.0168,0.8105,0.0331,0.7444,0.0267
ablation_Basic_58,2025-11-24 10:48:17,0.001,0.5,128,3,3,300,1e-05,basic,84.6631,1.2324,0.8878,0.0122,0.7831,0.0137,0.8239,0.0146,0.8217,0.0353,0.7215,0.0425
ablation_Basic_48,2025-11-24 10:48:36,0.001,0.3,32,7,7,300,0.0,basic,84.3304,0.7884,0.8903,0.0053,0.7778,0.0142,0.8149,0.0177,0.7934,0.0397,0.7526,0.0267
ablation_Basic_57,2025-11-24 10:48:44,0.001,0.5,128,3,3,300,0.0,basic,84.6753,1.1929,0.8893,0.0127,0.7806,0.0112,0.8217,0.0139,0.8188,0.0344,0.7186,0.0370
ablation_Basic_49,2025-11-24 10:52:17,0.001,0.3,32,7,7,300,1e-05,basic,84.6542,1.2632,0.8941,0.0076,0.7837,0.0158,0.8199,0.0188,0.7984,0.0361,0.7589,0.0214
ablation_Basic_71,2025-11-24 10:54:54,0.001,0.5,128,3,7,300,0.0001,basic,84.5321,1.1122,0.8926,0.0084,0.7822,0.0137,0.8186,0.0163,0.7968,0.0426,0.7584,0.0392
ablation_Basic_70,2025-11-24 10:56:40,0.001,0.5,128,3,7,300,1e-05,basic,84.3831,0.9719,0.8904,0.0042,0.7764,0.0067,0.8162,0.0094,0.8034,0.0324,0.7339,0.0375
ablation_Basic_69,2025-11-24 10:58:35,0.001,0.5,128,3,7,300,0.0,basic,84.7122,1.1157,0.8940,0.0076,0.7780,0.0093,0.8166,0.0104,0.7998,0.0297,0.7435,0.0270
ablation_Basic_50,2025-11-24 11:01:46,0.001,0.3,32,7,7,300,0.0001,basic,83.9467,0.7447,0.8882,0.0033,0.7808,0.0067,0.8183,0.0075,0.7983,0.0238,0.7534,0.0208
